noun	verb
coupler	couple up
couplet	couple
coupling	couple
coupling	couple on
coupling	couple up
coursing	course
courting	court
courtship	court
cover	cover up
coverage	cover
cover charge	cover
covering	cover
covering	cover up
covering fire	cover
covert	cover
cover-up	cover
cover-up	cover up
cowling	cowl
cozenage	cozen
crabby person	crab
crabmeat	crab
crackdown	crack down
cracker	crack
cracker bonbon	crack
cracking	crack
crackling	crackle
crack-up	crack
crack-up	crack up
crafter	craft
craftsman	craft
craftsmanship	craft
crammer	cram
cramp iron	cramp
crank	crank up
crapper	crap
crasher	crash
craving	crave
crawler	crawl
crawling	crawl
creaking	creak
creation	create
creative activity	create
creator	create
creature	create
credit entry	credit
creditor	credit
creeper	creep
creeping	creep
cremation	cremate
crenel	crenelate
crenel	crenellate
crenelation	crenel
crenelation	crenelate
crenelation	crenellate
crenellation	crenel
crenellation	crenelate
crenellation	crenellate
crenelle	crenel
crenelle	crenelate
crenelle	crenellate
creole	creolize
crepe paper	crepe
crepitation	crepitate
cricketer	cricket
crime	criminalise
crime	criminalize
crime	criminate
criminal	criminalise
criminal	criminalize
criminal offence	criminalise
criminal offence	criminalize
criminal offence	criminate
criminal offense	criminalise
criminal offense	criminalize
criminal offense	criminate
crisp	crispen
critic	criticise
critic	criticize
critical review	critique
criticism	criticise
criticism	criticize
criticism	critique
critique	criticise
critique	criticize
croaker	croak
croaking	croak
crocheting	crochet
crooner	croon
crooning	croon
cross	crossbreed
crossbreed	cross
crossbreeding	cross
crossbreeding	crossbreed
cross-dresser	cross-dress
cross-examination	cross examine
cross-examination	cross question
cross-examiner	cross examine
cross-examiner	cross question
cross-fertilisation	cross-fertilise
cross-fertilisation	cross-fertilize
cross-fertilization	cross-fertilise
cross-fertilization	cross-fertilize
crossing	cross
crossing	crossbreed
cross-linkage	cross-link
crossover	cross
cross-pollination	cross-pollinate
cross-question	cross examine
cross-question	cross question
cross-questioner	cross examine
cross-questioner	cross question
cross-reference	cross-index
crossroad	cross
crosswalk	cross
crossway	cross
crowd	crowd together
crowding	crowd
crowding	crowd together
crowing	crow
crucifix	crucify
crucifixion	crucify
cruiser	cruise
crusader	crusade
crusher	crush
crushing	crush
crystal	crystalise
crystal	crystalize
crystal	crystallise
crystal	crystallize
crystallisation	crystalise
crystallisation	crystalize
crystallisation	crystallise
crystallisation	crystallize
crystallization	crystalise
crystallization	crystalize
crystallization	crystallise
crystallization	crystallize
crystallizing	crystalise
crystallizing	crystalize
crystallizing	crystallise
crystallizing	crystallize
cuddling	cuddle
culmination	culminate
cultivation	cultivate
cultivator	cultivate
culture	cultivate
cumulation	cumulate
cumulus	cumulate
curbing	curb
curdling	curdle
curl	curl up
curler	curl
curlicue	curl
curlicue	curl up
curling	curl
currier	curry
curse word	curse
curtailment	curtail
curtsey	curtsy
curtsy	curtsey
curvature	curve
curved shape	curve
cushioning	cushion
cybernation	cybernate
cycling	cycle
cyclist	cycle
dabbler	dabble
dalliance	dally
dallier	dally
damnation	damn
dampener	dampen
dampening	dampen
damper	damp
damper	dampen
dancer	dance
dancing	dance
dandy	dandify
dangling	dangle
darkening	darken
darner	darn
darning	darn
darter	dart
date	date stamp
dateline	datemark
dateline	date-mark
dauber	daub
daubing	daub
dawdler	dawdle
dawdling	dawdle
dawning	dawn
daydreamer	daydream
daydreaming	daydream
deactivation	deactivate
deadening	deaden
deaf	deafen
deal	deal out
dealer	deal
dealing	deal
dealings	deal
deamination	deaminate
deamination	deaminize
deaminization	deaminate
deaminization	deaminize
debarkation	debark
debarment	debar
debasement	debase
debasement	debauch
debaser	debase
debater	debate
debauch	debase
debauchee	debase
debauchee	debauch
debaucher	debase
debaucher	debauch
debauchery	debase
debauchery	debauch
debilitation	debilitate
debility	debilitate
debit entry	debit
debriefing	debrief
debugger	debug
debunking	debunk
decadent	decay
decalcification	decalcify
decampment	decamp
decantation	decant
decanter	decant
decarboxylation	decarboxylate
deceased	decease
deceased person	decease
decedent	decease
deceit	deceive
deceiver	deceive
deceleration	decelerate
decentalisation	decentralise
decentalisation	decentralize
decentralisation	decentralise
decentralisation	decentralize
decentralization	decentralise
decentralization	decentralize
deception	deceive
deciding	decide
decimal	decimalise
decimal	decimalize
decimal fraction	decimalise
decimal fraction	decimalize
decimalisation	decimalise
decimalisation	decimalize
decimalization	decimalise
decimalization	decimalize
decimation	decimate
decipherer	decipher
decipherment	decipher
decision	decide
decision making	decide
declamation	declaim
declaration	declare
declarer	declare
declassification	declassify
declension	decline
declination	decline
decline in quality	decline
declivity	decline
decoction	decoct
decoder	decode
decoding	decode
decolonisation	decolonise
decolonisation	decolonize
decolonization	decolonise
decolonization	decolonize
decomposition	decompose
decomposition reaction	decompose
decompressing	decompress
decompression	decompress
deconstruction	deconstruct
deconstructionism	deconstruct
decontamination	decontaminate
decor	decorate
decoration	decorate
decorator	decorate
decortication	decorticate
decrement	decrease
decrepitation	decrepitate
decryption	decrypt
decussation	decussate
dedication	dedicate
dedifferentiation	dedifferentiate
deduction	deduce
deduction	deduct
deductive reasoning	deduce
deductive reasoning	deduct
deepening	deepen
deepfreeze	deep freeze
deep-freeze	deep freeze
deep freezer	deep freeze
de-escalation	de-escalate
defacement	deface
defalcation	defalcate
defalcator	defalcate
defamation	defame
defamer	defame
default	default on
defaulter	default
defaulter	default on
defecation	defecate
defecator	defecate
defection	defect
defector	defect
defence	defend
defence force	defend
defendant	defend
defender	defend
defending team	defend
defenestration	defenestrate
defense	defend
defense force	defend
defense lawyers	defend
defense team	defend
deference	defer
deferment	defer
deferral	defer
defervescence	defervesce
defibrillation	defibrillate
defibrillator	defibrillate
defilement	defile
defiler	defile
defining	define
definition	define
deflagration	deflagrate
deflation	deflate
deflator	deflate
deflection	deflect
deflector	deflect
deflexion	deflect
defloration	deflower
defoliant	defoliate
defoliation	defoliate
defoliator	defoliate
deforestation	deforest
deformation	deform
defrauder	defraud
defrayal	defray
defrayment	defray
defroster	defrost
defusing	defuse
degaussing	degauss
degeneracy	degenerate
degeneration	degenerate
degradation	degrade
degustation	degust
dehiscence	dehisce
dehumanisation	dehumanise
dehumanisation	dehumanize
dehumanization	dehumanise
dehumanization	dehumanize
dehydration	dehydrate
deicer	deice
deification	deify
de-iodination	de-iodinate
dejection	deject
delegacy	delegate
delegating	delegate
delegation	delegate
deletion	delete
deliberateness	deliberate
deliberation	deliberate
delimitation	delimit
delimitation	delimitate
delineation	delimit
delineation	delimitate
delineation	delineate
deliverance	deliver
deliverer	deliver
delivery	deliver
delivery boy	deliver
deliveryman	deliver
delusion	delude
demagnetisation	demagnetise
demagnetisation	demagnetize
demagnetization	demagnetise
demagnetization	demagnetize
demander	demand
demarcation	demarcate
demarcation line	demarcate
demineralisation	demineralise
demineralisation	demineralize
demineralization	demineralise
demineralization	demineralize
demister	demist
demo	demonstrate
demobilisation	demob
demobilisation	demobilise
demobilisation	demobilize
demobilization	demob
demobilization	demobilise
demobilization	demobilize
democracy	democratise
democracy	democratize
demodulation	demodulate
demodulator	demodulate
demolishing	demolish
demolition	demolish
demon	demonise
demon	demonize
demonetisation	demonetise
demonetisation	demonetize
demonetization	demonetise
demonetization	demonetize
demonisation	demonise
demonisation	demonize
demonization	demonise
demonization	demonize
demonstration	demo
demonstration	demonstrate
demonstrator	demo
demonstrator	demonstrate
demoralisation	demoralise
demoralisation	demoralize
demoralization	demoralise
demoralization	demoralize
demotion	demote
demurral	demur
demurrer	demur
demythologisation	demythologise
demythologisation	demythologize
demythologization	demythologise
demythologization	demythologize
denationalisation	denationalise
denationalisation	denationalize
denationalization	denationalise
denationalization	denationalize
denaturant	denature
denazification	denazify
denigration	denigrate
denomination	denominate
denotation	denote
denouncement	denounce
denudation	denudate
denudation	denude
deodorant	deodorise
deodorant	deodorize
deodorant	deodourise
deodourant	deodorise
deodourant	deodorize
deodourant	deodourise
departer	depart
departure	depart
dependance	depend
dependence	depend
dependency	depend
depersonalisation	depersonalise
depersonalisation	depersonalize
depersonalisation disorder	depersonalise
depersonalisation disorder	depersonalize
depersonalisation neurosis	depersonalise
depersonalisation neurosis	depersonalize
depersonalization	depersonalise
depersonalization	depersonalize
depersonalization disorder	depersonalise
depersonalization disorder	depersonalize
depersonalization neurosis	depersonalise
depersonalization neurosis	depersonalize
depicting	depict
depiction	depict
depilation	depilate
depilator	depilate
depilatory	depilate
depletion	deplete
deployment	deploy
depolarisation	depolarise
depolarisation	depolarize
depolarization	depolarise
depolarization	depolarize
deponent	depone
deponent	depose
depopulation	depopulate
deportation	deport
deportee	deport
deportment	deport
deposer	depone
deposer	depose
deposition	depone
deposition	depose
deposition	deposit
depositor	deposit
depository financial institution	deposit
depravation	deprave
depravity	deprave
deprecation	deprecate
deprecation	depreciate
depreciation	deprecate
depreciation	depreciate
depreciator	deprecate
depreciator	depreciate
depressant	depress
depression	depress
depressor	depress
depressor muscle	depress
deprivation	deprive
deputation	depute
deputation	deputise
deputation	deputize
deputy	depute
deputy	deputise
deputy	deputize
deputy sheriff	depute
deputy sheriff	deputise
deputy sheriff	deputize
deracination	deracinate
derailment	derail
derangement	derange
deregulating	deregulate
deregulation	deregulate
derision	deride
derivation	derive
deriving	derive
derogation	derogate
desalination	desalinate
desalination	desalinise
desalination	desalinize
desalination	desalt
desalinisation	desalinate
desalinisation	desalinise
desalinisation	desalinize
desalinisation	desalt
desalinization	desalinate
desalinization	desalinise
desalinization	desalinize
desalinization	desalt
descendant	descend
descendent	descend
descent	descend
description	describe
desecration	desecrate
desegregation	desegregate
desensitisation	desensitise
desensitisation	desensitize
desensitization	desensitise
desensitization	desensitize
deserter	desert
desertion	desert
deservingness	deserve
desiccant	desiccate
desiccation	desiccate
designation	designate
designer	design
designing	design
desolation	desolate
desorption	desorb
desperate	despair
desperation	despair
despisal	despise
despising	despise
despite	despise
despoilation	despoil
despoiler	despoil
despoilment	despoil
despoliation	despoil
despondence	despond
despondency	despond
desquamation	desquamate
destabilisation	destabilise
destabilisation	destabilize
destabilization	destabilise
destabilization	destabilize
destalinisation	destalinise
destalinisation	destalinize
destalinization	destalinise
destalinization	destalinize
destination	destine
destiny	destine
destroyer	destroy
destroyer	destruct
destruction	destroy
destruction	destruct
desynchronisation	desynchronise
desynchronisation	desynchronize
desynchronization	desynchronise
desynchronization	desynchronize
desynchronizing	desynchronise
desynchronizing	desynchronize
detachment	detach
detailing	detail
detainee	detain
detainment	detain
detecting	detect
detection	detect
detective work	detect
detector	detect
detergence	deterge
detergency	deterge
detergent	deterge
deterioration	deteriorate
determent	deter
determinant	determine
determination	detect
determination	determine
determinative	determine
determiner	determine
determining factor	determine
deterrence	deter
deterrent	deter
detestation	detest
dethronement	dethrone
detonating device	detonate
detonation	detonate
detonator	detonate
detoxification	detox
detoxification	detoxicate
detoxification	detoxify
detraction	detract
detractor	detract
detribalisation	detribalise
detribalisation	detribalize
detribalization	detribalise
detribalization	detribalize
devaluation	devaluate
devaluation	devalue
devastation	devastate
developer	develop
developing	develop
development	develop
deviance	deviate
deviant	deviate
deviation	deviate
devil	devilise
devil	devilize
devilment	devil
devilry	devil
deviltry	devil
devisal	devise
devisee	devise
deviser	devise
devising	devise
devitalisation	devitalise
devitalisation	devitalize
devitalization	devitalise
devitalization	devitalize
devolution	devolve
devolvement	devolve
devotee	devote
devotion	devote
devourer	devour
diagnosing	diagnose
diagnosis	diagnose
diagonal	diagonalise
diagonal	diagonalize
diagonalisation	diagonalise
diagonalisation	diagonalize
diagonalization	diagonalise
diagonalization	diagonalize
diagramming	diagram
dialysis	dialyse
dialysis	dialyze
dialysis machine	dialyse
dialysis machine	dialyze
dialyzer	dialyse
dialyzer	dialyze
dibber	dibble
dicer	dice
dichotomisation	dichotomise
dichotomisation	dichotomize
dichotomization	dichotomise
dichotomization	dichotomize
dichotomy	dichotomise
dichotomy	dichotomize
dictation	dictate
dictator	dictate
dietary	diet
dieter	diet
dieting	diet
difference	differ
difference	differentiate
difference of opinion	differ
differentiation	differentiate
differentiator	differentiate
diffraction	diffract
diffuser	diffuse
diffusion	diffuse
diffusor	diffuse
digester	digest
digestion	digest
digit	digitalise
digit	digitalize
digit	digitise
digit	digitize
digitalin	digitalize
digitalis	digitalize
digitalisation	digitalize
digitalis glycoside	digitalize
digitalization	digitalize
digitisation	digitalise
digitisation	digitalize
digitisation	digitise
digitisation	digitize
digitiser	digitalise
digitiser	digitalize
digitiser	digitise
digitiser	digitize
digitization	digitalise
digitization	digitalize
digitization	digitise
digitization	digitize
digitizer	digitalise
digitizer	digitalize
digitizer	digitise
digitizer	digitize
dignity	dignify
digression	digress
dilapidation	dilapidate
dilatation	dilate
dilater	dilate
dilation	dilate
dilator	dilate
dillydallier	dillydally
dillydallier	dilly-dally
dilly-dallier	dillydally
dilly-dallier	dilly-dally
diluent	dilute
dilutant	dilute
dilution	dilute
diminution	diminish
diner	dine
diphthong	diphthongise
diphthong	diphthongize
directive	direct
director	direct
dirt	dirty
dirtying	dirty
disability	disable
disablement	disable
disaffection	disaffect
disagreement	disagree
disambiguation	disambiguate
disambiguator	disambiguate
disappearance	disappear
disappearing	disappear
disappointment	disappoint
disapproval	disapprove
disarmament	disarm
disarmer	disarm
disarming	disarm
disarrangement	disarrange
disassembly	disassemble
disassociation	disassociate
disavowal	disavow
disbandment	disband
disbarment	disbar
disbeliever	disbelieve
disbursal	disburse
disbursement	disburse
disburser	disburse
discernment	discern
disc jockey	disc-jockey
disclaimer	disclaim
disclosure	disclose
disclosure	discover
discoloration	discolor
discoloration	discolour
discolouration	discolor
discolouration	discolour
discombobulation	discombobulate
discombobulation	disconcert
discomfiture	discomfit
discomfiture	discompose
discomfiture	disconcert
discomposure	discomfit
discomposure	discompose
discomposure	disconcert
disconcertion	discomfit
disconcertion	discompose
disconcertion	disconcert
disconcertment	discomfit
disconcertment	discompose
disconcertment	disconcert
disconnection	disconnect
discontentedness	discontent
discontentment	discontent
discontinuance	discontinue
discontinuation	discontinue
discordance	discord
discounter	discount
discount house	discount
discount store	discount
discouragement	discourage
discourse	discuss
discoverer	discover
discovery	disclose
discovery	discover
discrimination	discriminate
discriminator	discriminate
discussant	discuss
discussion	discourse
discussion	discuss
disembarkation	disembark
disembarkment	disembark
disembarrassment	disembarrass
disembowelment	disembowel
disenchantment	disenchant
disenfranchisement	disenfranchise
disengagement	disengage
disentanglement	disembroil
disentanglement	disencumber
disentanglement	disentangle
disestablishment	disestablish
disfavor	disfavour
disfavour	disfavor
disfiguration	disfigure
disfigurement	disfigure
disforestation	disforest
disfranchisement	disfranchise
disgorgement	disgorge
disgruntlement	disgruntle
dish	dish out
dish	dish up
disheartenment	dishearten
dishful	dish
dishful	dish out
dishful	dish up
dishonor	dishonour
dishonour	dishonor
disillusionment	disillusion
disinclination	disincline
disinfectant	disinfect
disinfection	disinfect
disinfestation	disinfest
disinheritance	disinherit
disintegration	disintegrate
disinterment	disinter
disinvestment	disinvest
disjunction	disjoin
disjunction	disjoint
disjuncture	disjoin
disjuncture	disjoint
disk jockey	disk-jockey
dislocation	dislocate
dislodgement	dislodge
dislodgment	dislodge
dismantlement	dismantle
dismantling	dismantle
dismemberment	dismember
dismissal	dismiss
dismission	dismiss
disobedience	disobey
disorderliness	disorder
disorganisation	disorganise
disorganisation	disorganize
disorganization	disorganise
disorganization	disorganize
disorientation	disorient
disorientation	disorientate
disowning	disown
disownment	disown
disparagement	disparage
disparager	disparage
dispatcher	dispatch
dispensary	dispense
dispensation	dispense
dispenser	dispense
dispersal	dispel
dispersal	disperse
dispersion	dispel
dispersion	disperse
displeasure	displease
disposal	dispose
disposition	dispose
dispossession	dispossess
dispraise	disparage
disprover	disprove
disputant	dispute
disputation	dispute
disqualification	disqualify
disruption	disrupt
dissatisfaction	dissatisfy
dissection	dissect
dissembler	dissemble
dissembling	dissemble
dissembling	dissimulate
dissemination	disseminate
dissemination	dissipate
disseminator	disseminate
dissension	dissent
dissenter	dissent
dissertation	dissertate
dissident	dissent
dissimilation	dissimilate
dissimulation	dissimulate
dissimulator	dissemble
dissipation	dissipate
dissociation	dissociate
dissolution	dissipate
dissolution	dissolve
dissolvent	dissolve
dissolver	dissolve
dissolving	dissolve
dissolving agent	dissolve
dissonance	dissent
dissonance	dissonate
dissuasion	dissuade
distension	distend
distention	distend
distillate	distil
distillate	distill
distillation	distil
distillation	distill
distillery	distil
distillery	distill
distillment	distil
distillment	distill
distinction	distinguish
distorted shape	distort
distortion	distort
distraction	distract
distributer	distribute
distribution	distribute
distributor	distribute
distrustfulness	distrust
disturbance	distract
disturbance	disturb
disunion	disunite
ditto mark	ditto
divagation	divagate
dive bomber	dive-bomb
dive-bombing	dive-bomb
diver	dive
divergence	diverge
divergency	diverge
diverseness	diversify
diversification	diversify
diversion	divert
diversity	diversify
divestiture	divest
divider	divide
divination	divine
diviner	divine
division	divide
divorcee	divorce
divorcement	divorce
divulgement	divulge
divulgence	divulge
dockage	dock
docker	dock
dockhand	dock
docking	dock
docking facility	dock
dock-walloper	dock
dockworker	dock
dock worker	dock
docudrama	document
documentary	document
documentary film	document
documentation	document
dodderer	dodder
dodger	dodge
dodging	dodge
dogma	dogmatise
dogma	dogmatize
dogmatist	dogmatise
dogmatist	dogmatize
domiciliation	domiciliate
dominance	dominate
domination	dominate
dominion	dominate
donation	donate
doomsday	doom
dope	dope up
dosser	doss
dosser	doss down
double-bogey	double bogey
double check	double-check
double crochet	double crochet
double crochet	double stitch
double cross	double cross
double-crosser	double cross
double-crossing	double cross
double date	double-date
double-dealer	double cross
double stitch	double crochet
double stitch	double stitch
doubling	double
doubter	doubt
doubtfulness	doubt
douche bag	douche
dousing	douse
dovetail joint	dovetail
dowery	dower
downer	down
dowser	dowse
dowsing	dowse
dowsing rod	dowse
draft copy	draft
draftee	draft
drafter	draft
drafting	draft
dragger	drag
drainage	drain
drainpipe	drain
drama	dramatise
drama	dramatize
dramatic event	dramatise
dramatic event	dramatize
dramatic play	dramatise
dramatic play	dramatize
dramatisation	dramatise
dramatisation	dramatize
dramatist	dramatise
dramatist	dramatize
dramatization	dramatise
dramatization	dramatize
drapery	drape
draw	draw in
drawee	draw
drawee	draw off
drawer	draw
drawer	draw off
drawing	draw
drawing card	draw
drawing card	draw in
drawing off	draw
drawler	drawl
dreamer	dream
dreaming	dream
dredger	dredge
drenching	drench
dress	dress up
dresser	dress
dresser	dress up
dressing	dress
dressing	dress out
drib	dribble
dribbler	dribble
dribbling	dribble
driblet	dribble
driftage	drift
drifter	drift
drifting	drift
drill hole	drill
drilling	drill
drinkable	drink
drinker	drink
drinking	drink
drippings	drip
driveller	drivel
driver	drive
driveway	drive
driving	drive
driving force	drive
drone	drone on
droning	drone
droning	drone on
drooler	drool
drop	drop down
drop	drop off
drop cloth	drop
drop cloth	drop down
drop curtain	drop
drop curtain	drop down
dropkick	drop-kick
dropkicker	dropkick
dropkicker	drop-kick
drop-off	drop away
drop-off	drop off
dropout	drop out
dropper	drop
drubbing	drub
drudgery	drudge
drugging	drug
drummer	drum
drumming	drum
ducking	duck
dueler	duel
duelist	duel
dueller	duel
duellist	duel
dullard	dull
dumper	dump
dumping	dump
dumpsite	dump
dump truck	dump
dunkard	dunk
dunker	dunk
dunk shot	dunk
dupery	dupe
duplication	duplicate
duplicator	duplicate
dustcloth	dust
duster	dust
dustrag	dust
dweller	dwell
dwelling	dwell
dwelling house	dwell
dwindling	dwindle
dwindling	dwindle away
dwindling	dwindle down
dwindling away	dwindle
dwindling away	dwindle away
dwindling away	dwindle down
dynamiter	dynamite
dynamitist	dynamite
earner	earn
earnings	earn
earthing	earth
easement	ease
eavesdropper	eavesdrop
ebony	ebonise
ebony	ebonize
economiser	economise
economiser	economize
economizer	economise
economizer	economize
economy	economise
economy	economize
edger	edge
edification	edify
editing	edit
editor	edit
editorial	editorialise
editorial	editorialize
editor in chief	edit
educatee	educate
education	educate
educational activity	educate
education department	educate
educator	educate
effacement	efface
effect	effectuate
effecter	effect
effecter	effectuate
effector	effect
effector	effectuate
effectuation	effect
effectuation	effectuate
effervescence	effervesce
efflorescence	effloresce
effusion	effuse
egression	egress
ejaculation	ejaculate
ejaculator	ejaculate
ejection	eject
ejector	eject
elaborateness	elaborate
elaboration	elaborate
elation	elate
elbowing	elbow
elbow joint	elbow
election	elect
electioneering	electioneer
elector	elect
electorate	elect
electrical energy	electrify
electricity	electrify
electrification	electrify
electrocution	electrocute
electroplater	electroplate
elegy	elegise
elegy	elegize
elevation	elevate
elevator	elevate
elicitation	elicit
elimination	eliminate
eliminator	eliminate
elocution	elocute
elongation	elongate
elopement	elope
elucidation	elucidate
eluding	elude
elution	elute
emaciation	emaciate
emanation	emanate
emancipation	emancipate
emancipator	emancipate
emasculation	emasculate
embalmer	embalm
embalmment	embalm
embankment	embank
embarkation	embark
embarkment	embark
embarrassment	embarrass
embellishment	embellish
embezzlement	embezzle
embezzler	embezzle
embitterment	embitter
embodiment	embody
embossment	emboss
embracement	embrace
embracing	embrace
embrocation	embrocate
embroiderer	embroider
embroidery	embroider
embroilment	embroil
emergence	emerge
emersion	emerge
emigrant	emigrate
emigration	emigrate
emigre	emigrate
emigree	emigrate
emitter	emit
emotion	emote
empathy	empathise
empathy	empathize
emphasis	emphasise
emphasis	emphasize
emphasizing	emphasise
emphasizing	emphasize
emplacement	emplace
employee	employ
employer	employ
employment	employ
empowerment	empower
emptying	empty
emulation	emulate
emulator	emulate
emulsifier	emulsify
emulsion	emulsify
enactment	enact
encampment	encamp
encapsulation	encapsulate
encasement	encase
enchanter	enchant
enchantment	enchant
enchantress	enchant
encirclement	encircle
enclosing	enclose
enclosure	enclose
encoding	encode
encompassment	encompass
encouragement	encourage
encroacher	encroach
encroacher	encroach upon
encroachment	encroach
encroachment	encroach upon
encrustation	encrust
encryption	encrypt
endangerment	endanger
endearment	endear
endeavor	endeavour
endeavour	endeavor
endorsement	endorse
endorser	endorse
endowment	endow
endowment fund	endow
endurance	endure
energiser	energise
energiser	energize
energizer	energise
energizer	energize
energizing	energise
energizing	energize
energy	energise
energy	energize
enervation	enervate
enfeeblement	enfeeble
enfeoffment	enfeoff
enfolding	enfold
enforcement	enforce
enforcer	enforce
enfranchisement	enfranchise
engagement	engage
engineering	engineer
engorgement	engorge
engraver	engrave
engraving	engrave
engrossment	engross
enhancement	enhance
enhancer	enhance
enjoining	enjoin
enjoinment	enjoin
enjoyer	enjoy
enjoyment	enjoy
enlargement	enlarge
enlarger	enlarge
enlightenment	enlighten
enlistee	enlist
enlisting	enlist
enlistment	enlist
enlivener	enliven
ennoblement	ennoble
enquirer	enquire
enquiry	enquire
enragement	enrage
enrichment	enrich
enrollee	enrol
enrollee	enroll
enrollment	enrol
enrollment	enroll
enrolment	enrol
enrolment	enroll
ensilage	ensile
enslavement	enslave
entailment	entail
entanglement	entangle
entering	enter
entertainer	entertain
entertainment	entertain
enthrallment	enthral
enthrallment	enthrall
enthronement	enthrone
enthronisation	enthrone
enthronization	enthrone
enticement	entice
entitlement	entitle
entombment	entomb
entrancement	entrance
entrapment	entrap
entrenchment	entrench
enucleation	enucleate
enumeration	enumerate
enumerator	enumerate
enunciation	enunciate
envelopment	envelop
environment	environ
environs	environ
envisioning	envision
epilation	epilate
epilator	epilate
epitome	epitomise
epitome	epitomize
epoxy glue	epoxy
epoxy resin	epoxy
equal	equalise
equal	equalize
equal	equate
equalisation	equal
equalisation	equalise
equalisation	equalize
equalisation	equate
equaliser	equal
equaliser	equalise
equaliser	equalize
equaliser	equate
equality	equal
equality	equalise
equality	equalize
equality	equate
equalization	equal
equalization	equalise
equalization	equalize
equalization	equate
equalizer	equal
equalizer	equalise
equalizer	equalize
equalizer	equate
equating	equate
equation	equal
equation	equalise
equation	equalize
equation	equate
equator	equal
equator	equalise
equator	equalize
equator	equate
equilibrium	equilibrate
equilibrium	equilibrise
equilibrium	equilibrize
equipage	equip
equipment	equip
equipoise	equilibrate
equipoise	equilibrise
equipoise	equilibrize
equipping	equip
equivocation	equivocate
equivocator	equivocate
eradication	eradicate
eradicator	eradicate
eraser	erase
erasure	erase
erecting	erect
erection	erect
eroding	erode
eructation	eruct
eruption	erupt
escalader	escalade
escalation	escalate
escapee	escape
escapist	escape
espousal	espouse
essayer	essay
establishment	establish
ester	esterify
estimation	estimate
estimator	estimate
estivation	estivate
estrangement	estrange
etcher	etch
etching	etch
ether	etherify
ether	etherise
ether	etherize
etiolation	etiolate
etymologizing	etymologise
etymologizing	etymologize
etymology	etymologise
etymology	etymologize
eulogium	eulogise
eulogium	eulogize
eulogy	eulogise
eulogy	eulogize
euphemism	euphemise
euphemism	euphemize
europeanisation	europeanise
europeanisation	europeanize
europeanization	europeanise
europeanization	europeanize
evacuation	evacuate
evaluation	evaluate
evaluator	evaluate
evanescence	evanesce
evangelism	evangelise
evangelism	evangelize
evaporation	evaporate
event	eventuate
eversion	evert
everting	evert
eviction	evict
evisceration	eviscerate
evolution	evolve
exacerbation	exacerbate
exaction	exact
exaggeration	exaggerate
exaltation	exalt
exam	examine
examen	examine
examination	examine
examinee	examine
examiner	examine
exasperation	exasperate
excavation	excavate
excavator	excavate
exceedance	exceed
excellence	excel
exception	except
excerption	excerpt
exchanger	exchange
excise tax	excise
excision	excise
excitation	excite
excitement	excite
exclaiming	exclaim
exclamation	exclaim
exclusion	exclude
excogitation	excogitate
excogitator	excogitate
excommunication	excommunicate
excoriation	excoriate
excreting	excrete
excretion	excrete
excruciation	excruciate
exculpation	exculpate
exculpation	excuse
excuser	excuse
execration	execrate
executant	execute
executing	execute
execution	execute
execution of instrument	execute
executor	execute
exemplar	exemplify
exemplification	exemplify
exemption	exempt
exenteration	exenterate
exercise	exert
exerciser	exercise
exercising	exercise
exertion	exert
exfoliation	exfoliate
exhalation	exhale
exhaustion	exhaust
exhibition	exhibit
exhibitioner	exhibit
exhibitor	exhibit
exhilaration	exhilarate
exhortation	exhort
exhumation	exhume
existence	exist
exoneration	exonerate
exorciser	exorcise
exorciser	exorcize
exorcism	exorcise
exorcism	exorcize
exorcist	exorcise
exorcist	exorcize
expanding upon	expand
expanding upon	expatiate
expansion	expand
expansion	expatiate
expat	expatriate
expatiation	expand
expatiation	expatiate
expatriation	expatriate
expectancy	expect
expectation	expect
expectoration	expectorate
expectorator	expectorate
expelling	expel
expender	expend
expending	expend
expenditure	expend
experimentation	experiment
experimenter	experiment
expiation	expiate
expiration	expire
expiry	expire
explanation	explain
explanation	explicate
explication	explain
explication	explicate
exploitation	exploit
exploiter	exploit
exploration	explore
explorer	explore
explosion	explode
explosive charge	explode
exponent	exposit
exponent	expound
exportation	export
exporter	export
exporting	export
exposition	exposit
exposition	expound
expostulation	expostulate
exposure	expose
expounding	exposit
expounding	expound
expressage	express
expression	express
express mail	express
expropriation	expropriate
expunction	expunge
expunging	expunge
expurgation	expurgate
expurgator	expurgate
extemporisation	extemporise
extemporisation	extemporize
extemporization	extemporise
extemporization	extemporize
extension	extend
extensor	extend
extensor muscle	extend
extent	extend
extenuation	extenuate
exteriorisation	exteriorise
exteriorisation	exteriorize
exteriorisation	externalise
exteriorisation	externalize
exteriorization	exteriorise
exteriorization	exteriorize
exteriorization	externalise
exteriorization	externalize
exterminator	exterminate
externalisation	exteriorise
externalisation	exteriorize
externalisation	externalise
externalisation	externalize
externalization	exteriorise
externalization	exteriorize
externalization	externalise
externalization	externalize
extinction	extinguish
extinguisher	extinguish
extinguishing	extinguish
extirpation	extirpate
extoller	extol
extolment	extol
extortion	extort
extraction	extract
extractor	extract
extradition	extradite
extrapolation	extrapolate
extravasation	extravasate
extrication	extricate
extrusion	extrude
exuberance	exuberate
exudate	exude
exudation	exudate
exudation	exude
exultation	exult
fabrication	fabricate
fabricator	fabricate
facelift	face-lift
face lift	face-lift
face lifting	face-lift
face-off	face off
facilitation	facilitate
facilitator	facilitate
facsimile machine	facsimile
